unique number|date|Topic|english|korean|chinese|dutch|korean audio|dutch audio|images
134||calender/agenda|agreement|||akkoord||[sound:akkoord.mp3]|[image:agreement.png]
135||emergencies|help|||helpen||[sound:helpen.mp3]|[image:help.png]
136||emergencies|do you need help|||heb je hulp nodig||[sound:heb je hulp nodig.mp3]|[image:do you need help.png]
137||emergencies|can i help you|||kan ik u helpen||[sound:kan ik u helpen.mp3]|[image:can i help you.png]
138||emergencies|can you help me|||kunt u mij helpen||[sound:kunt u mij helpen.mp3]|[image:can you help me.png]
139||emergencies|police|||politie||[sound:politie.mp3]|[image:police.png]
140||emergencies|ambulance|||ambulance||[sound:ambulance.mp3]|[image:ambulance.png]
141||emergencies|firedepartment|||brandweer||[sound:brandweer.mp3]|[image:firedepartment.png]
142||emergencies|fire|||brand||[sound:brand.mp3]|[image:fire.png]
143||emergencies|hospital|||ziekenhuis||[sound:ziekenhuis.mp3]|[image:hospital.png]
144||emergencies|blood|||bloed||[sound:bloed.mp3]|[image:blood.png]
145||emergencies|medicine|||medicijn||[sound:medicijn.mp3]|[image:medicine.png]
146||emergencies|do you need a ...|||heb je een … nodig?||[sound:heb je een … nodig?.mp3]|[image:do you need a ....png]
147||emergencies|doctor|||dokter||[sound:dokter.mp3]|[image:doctor.png]
148||emergencies|do you need some ...|||heb je wat … nodig?||[sound:heb je wat … nodig?.mp3]|[image:do you need some ....png]
149||emergencies|water|||water||[sound:water.mp3]|[image:water.png]
150||emergencies|a drink|||een drankje||[sound:een drankje.mp3]|[image:a drink.png]
151||emergencies|to drink|||drinken||[sound:drinken.mp3]|[image:to drink.png]
152||emergencies|sugar|||suiker||[sound:suiker.mp3]|[image:sugar.png]
153||emergencies|food|||eten||[sound:eten.mp3]|[image:food.png]
154||emergencies|rest|||rusten||[sound:rusten.mp3]|[image:rest.png]
155||emergencies|how do you feel|||hoe voel je je||[sound:hoe voel je je.mp3]|[image:how do you feel.png]
156||emergencies|are you sick|||ben je ziek||[sound:ben je ziek.mp3]|[image:are you sick.png]
157||emergencies|are you oke|||gaat het goed||[sound:gaat het goed.mp3]|[image:are you oke.png]
|||||||||
